prob,run,rep1_mismatch,rep2_mismatch,any_mismatch,repeats_agree,detected,silent_failure
0.001,17,False,False,False,True,False,False
0.001,18,False,False,False,True,False,False
0.001,19,False,False,False,True,False,False
0.001,20,False,False,False,True,False,False
0.001,21,False,False,False,True,False,False
0.001,22,False,False,False,True,False,False
0.001,23,False,False,False,True,False,False
0.001,24,False,False,False,True,False,False
0.001,25,False,False,False,True,False,False
0.001,26,False,False,False,True,False,False
0.001,27,False,False,False,True,False,False
0.001,28,False,False,False,True,False,False
0.001,29,False,False,False,True,False,False
0.001,30,False,False,False,True,False,False
0.001,31,False,False,False,True,False,False
0.001,32,False,False,False,True,False,False
0.001,33,False,False,False,True,False,False
0.001,34,False,False,False,True,False,False
0.001,35,False,False,False,True,False,False
0.001,36,False,False,False,True,False,False
0.001,37,False,False,False,True,False,False
0.001,38,False,False,False,True,False,False
0.001,39,False,False,False,True,False,False
0.01,0,False,False,False,True,False,False
0.01,1,False,False,False,True,False,False
0.01,2,False,False,False,True,False,False
0.01,3,False,False,False,True,False,False
0.01,4,False,False,False,True,False,False
0.01,5,False,False,False,True,False,False
0.01,6,False,False,False,True,False,False
0.01,7,False,False,False,True,False,False
0.01,8,False,False,False,True,False,False
0.01,9,False,False,False,True,False,False
0.01,10,False,False,False,True,False,False
0.01,11,False,False,False,True,False,False
0.01,12,False,False,False,True,False,False
0.01,13,False,False,False,True,False,False
0.01,14,False,False,False,True,False,False
0.01,15,False,False,False,True,False,False
0.01,16,False,False,False,True,False,False
0.01,17,False,False,False,True,False,False
0.01,18,False,False,False,True,False,False
0.01,19,False,False,False,True,False,False
0.01,20,False,False,False,True,False,False
0.01,21,False,False,False,True,False,False
0.01,22,False,False,False,True,False,False
0.01,23,False,False,False,True,False,False
0.01,24,False,False,False,True,False,False
0.01,25,False,False,False,True,False,False
0.01,26,False,False,False,True,False,False
0.01,27,False,False,False,True,False,False
0.01,28,False,False,False,True,False,False
0.01,29,False,False,False,True,False,False
0.01,30,False,False,False,True,False,False
0.01,31,False,False,False,True,False,False
0.01,32,False,False,False,True,False,False
0.01,33,False,False,False,True,False,False
0.01,34,False,False,False,True,False,False
0.01,35,False,False,False,True,False,False
0.01,36,False,False,False,True,False,False
0.01,37,False,False,False,True,False,False
0.01,38,False,False,False,True,False,False
0.01,39,False,False,False,True,False,False
0.05,0,True,False,True,False,True,False
0.05,1,False,False,False,True,False,False
0.05,2,False,False,False,True,False,False
0.05,3,False,False,False,True,False,False
0.05,4,False,False,False,True,False,False
0.05,5,False,False,False,True,False,False
0.05,6,False,False,False,True,False,False
0.05,7,False,False,False,True,False,False
0.05,8,False,False,False,True,False,False
0.05,9,False,False,False,True,False,False
0.05,10,False,False,False,True,False,False
0.05,11,False,False,False,True,False,False
0.05,12,False,False,False,True,False,False
0.05,13,False,False,False,True,False,False
0.05,14,False,False,False,True,False,False
0.05,15,False,False,False,True,False,False
0.05,16,False,False,False,True,False,False
0.05,17,False,False,False,True,False,False
0.05,18,False,False,False,True,False,False
0.05,19,False,False,False,True,False,False
0.05,20,False,False,False,True,False,False
0.05,21,False,False,False,True,False,False
0.05,22,False,False,False,True,False,False
0.05,23,False,False,False,True,False,False
0.05,24,False,False,False,True,False,False
0.05,25,False,False,False,True,False,False
0.05,26,False,False,False,True,False,False
0.05,27,False,False,False,True,False,False
0.05,28,False,False,False,True,False,False
0.05,29,False,False,False,True,False,False
0.05,30,False,False,False,True,False,False
0.05,31,False,False,False,True,False,False
0.05,32,False,False,False,True,False,False
0.05,33,False,False,False,True,False,False
0.05,34,False,False,False,True,False,False
0.05,35,False,False,False,True,False,False
0.05,36,False,False,False,True,False,False
0.05,37,False,False,False,True,False,False
0.05,38,False,False,False,True,False,False
0.05,39,False,False,False,True,False,False
0.1,0,True,False,True,False,True,False
0.1,1,False,False,False,True,False,False
0.1,2,False,True,True,False,True,False
0.1,3,False,False,False,True,False,False
0.1,4,False,False,False,True,False,False
0.1,5,False,False,False,True,False,False
0.1,6,False,False,False,True,False,False
0.1,7,False,False,False,True,False,False
0.1,8,False,False,False,True,False,False
0.1,9,False,False,False,True,False,False
0.1,10,False,False,False,True,False,False
0.1,11,False,False,False,True,False,False
0.1,12,False,False,False,True,False,False
0.1,13,False,False,False,True,False,False
0.1,14,False,False,False,True,False,False
0.1,15,False,False,False,True,False,False
0.1,16,False,False,False,True,False,False
0.1,17,False,False,False,True,False,False
0.1,18,False,False,False,True,False,False
0.1,19,False,False,False,True,False,False
0.1,20,False,False,False,True,False,False
0.1,21,False,False,False,True,False,False
0.1,22,False,False,False,True,False,False
0.1,23,False,False,False,True,False,False
0.1,24,False,False,False,True,False,False
0.1,25,False,False,False,True,False,False
0.1,26,False,False,False,True,False,False
0.1,27,False,False,False,True,False,False
0.1,28,False,False,False,True,False,False
0.1,29,False,False,False,True,False,False
0.1,30,False,False,False,True,False,False
0.1,31,False,False,False,True,False,False
0.1,32,False,False,False,True,False,False
0.1,33,False,False,False,True,False,False
0.1,34,False,False,False,True,False,False
0.1,35,False,False,False,True,False,False
0.1,36,False,False,False,True,False,False
0.1,37,False,True,True,False,True,False
0.1,38,False,False,False,True,False,False
0.1,39,False,False,False,True,False,False
0.3,0,True,False,True,False,True,False
0.3,1,False,False,False,True,False,False
0.3,2,False,True,True,False,True,False
0.3,3,False,False,False,True,False,False
0.3,4,False,False,False,True,False,False
0.3,5,False,False,False,True,False,False
0.3,6,False,False,False,True,False,False
0.3,7,False,False,False,True,False,False
0.3,8,False,True,True,False,True,False
0.3,9,False,False,False,True,False,False
0.3,10,False,False,False,True,False,False
0.3,11,False,False,False,True,False,False
0.3,12,False,False,False,True,False,False
0.3,13,False,False,False,True,False,False
0.3,14,False,False,False,True,False,False
0.3,15,False,False,False,True,False,False
0.3,16,False,False,False,True,False,False
0.3,17,False,False,False,True,False,False
0.3,18,False,False,False,True,False,False
0.3,19,False,False,False,True,False,False
0.3,20,False,False,False,True,False,False
0.3,21,False,False,False,True,False,False
0.3,22,False,False,False,True,False,False
0.3,23,False,False,False,True,False,False
0.3,24,False,False,False,True,False,False
0.3,25,False,False,False,True,False,False
0.3,26,False,False,False,True,False,False
0.3,27,False,False,False,True,False,False
0.3,28,False,False,False,True,False,False
0.3,29,True,False,True,False,True,False
0.3,30,True,False,True,False,True,False
0.3,31,False,True,True,False,True,False
0.3,32,False,False,False,True,False,False
0.3,33,False,False,False,True,False,False
0.3,34,False,False,False,True,False,False
0.3,35,False,False,False,True,False,False
0.3,36,False,False,False,True,False,False
0.3,37,False,True,True,False,True,False
0.3,38,False,False,False,True,False,False
0.3,39,False,False,False,True,False,False
0.5,0,True,False,True,False,True,False
0.5,1,True,False,True,False,True,False
0.5,2,False,True,True,False,True,False
0.5,3,False,False,False,True,False,False
0.5,4,False,False,False,True,False,False
0.5,5,False,False,False,True,False,False
0.5,6,False,False,False,True,False,False
0.5,7,False,False,False,True,False,False
0.5,8,False,True,True,False,True,False
0.5,9,True,False,True,False,True,False
0.5,10,False,False,False,True,False,False
0.5,11,False,False,False,True,False,False
0.5,12,False,True,True,False,True,False
0.5,13,False,False,False,True,False,False
0.5,14,False,False,False,True,False,False
0.5,15,False,False,False,True,False,False
0.5,16,False,False,False,True,False,False
0.5,17,False,False,False,True,False,False
0.5,18,False,False,False,True,False,False
0.5,19,True,False,True,False,True,False
0.5,20,False,False,False,True,False,False
0.5,21,False,False,False,True,False,False
0.5,22,False,True,True,False,True,False
0.5,23,True,True,True,False,True,False
0.5,24,False,False,False,True,False,False
0.5,25,False,False,False,True,False,False
0.5,26,False,False,False,True,False,False
0.5,27,False,False,False,True,False,False
0.5,28,False,True,True,False,True,False
0.5,29,True,False,True,False,True,False
0.5,30,True,False,True,False,True,False
0.5,31,False,True,True,False,True,False
0.5,32,False,False,False,True,False,False
0.5,33,False,False,False,True,False,False
0.5,34,False,False,False,True,False,False
0.5,35,False,False,False,True,False,False
0.5,36,False,False,False,True,False,False
0.5,37,False,True,True,False,True,False
0.5,38,False,False,False,True,False,False
0.5,39,False,True,True,False,True,False
